plate_deck_loc,well,sample_id,name,volume,composition,recipe,order_mixing
10,C1,25,FNa160,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 10.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 5.775577557755776, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 97.47442244224422}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C2,26,BNa160,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 103.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C3,27,SNa160_1,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 75.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 43.31683168316832, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 59.93316831683168}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C4,28,BNa160,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 103.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C5,29,SNa160_2,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 100.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 57.755775577557756, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 45.494224422442244}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C6,30,BNa160,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 103.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C7,31,SNa160_3,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 125.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 72.1947194719472, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 31.055280528052805}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C8,32,BNa160,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 103.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C9,33,SNa160_4,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 165.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 95.29702970297029, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 7.952970297029708}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
10,C10,34,BNa160,175,"{'KCl': 200.0, 'KP': 100.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 160.0, 'water': 0}","{'KCl': 8.75, 'KP': 35.0, 'BSA': 0.0, 'PEG': 0.0, 'NH4OH': 0.0, 'NaHCO3': 28.0, 'water': 103.25}","['water', 'KCl', 'KP', 'NH4OH', 'NaHCO3', 'BSA', 'PEG']"
