plate_deck_loc,well,sample_id,name,volume,composition,recipe,order_mixing
10,C4,28,bsa_peg_ProArgGlu_x001000_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 20.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 3.0, 'Glutamic_acid': 0.0, 'water': 61.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,C5,29,bsa_peg_ProArgGlu_x001000_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 30.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 4.5, 'Glutamic_acid': 0.0, 'water': 60.02395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,C6,30,bsa_peg_ProArgGlu_x001000_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 50.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 7.5, 'Glutamic_acid': 0.0, 'water': 57.02395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,C7,31,bsa_peg_ProArgGlu_x020008_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,C8,32,bsa_peg_ProArgGlu_x020008_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 2.0, 'Arginine': 0.0, 'Glutamic_acid': 8.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.3, 'Arginine': 0.0, 'Glutamic_acid': 18.181818181818183, 'water': 46.0421339139902}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,C9,33,bsa_peg_ProArgGlu_x020008_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 4.0, 'Arginine': 0.0, 'Glutamic_acid': 16.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.6, 'Arginine': 0.0, 'Glutamic_acid': 36.36363636363637, 'water': 27.56031573217203}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,C10,34,bsa_peg_ProArgGlu_x020008_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 6.0, 'Arginine': 0.0, 'Glutamic_acid': 24.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.9, 'Arginine': 0.0, 'Glutamic_acid': 54.54545454545455, 'water': 9.07849755035383}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,C11,35,bsa_peg_ProArgGlu_x020008_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 10.0, 'Arginine': 0.0, 'Glutamic_acid': 40.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 1.5, 'Arginine': 0.0, 'Glutamic_acid': 90.9090909090909, 'water': -27.885138813282538}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,C12,36,bsa_peg_ProArgGlu_x020206_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D1,37,bsa_peg_ProArgGlu_x020206_variation_001,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 2.0, 'Arginine': 2.0, 'Glutamic_acid': 6.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.3, 'Arginine': 0.3, 'Glutamic_acid': 13.636363636363637, 'water': 50.28758845944475}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D2,38,bsa_peg_ProArgGlu_x020206_variation_002,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 4.0, 'Arginine': 4.0, 'Glutamic_acid': 12.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.6, 'Arginine': 0.6, 'Glutamic_acid': 27.272727272727273, 'water': 36.05122482308113}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D3,39,bsa_peg_ProArgGlu_x020206_variation_003,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 6.0, 'Arginine': 6.0, 'Glutamic_acid': 18.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.9, 'Arginine': 0.9, 'Glutamic_acid': 40.90909090909091, 'water': 21.81486118671745}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D4,40,bsa_peg_ProArgGlu_x020206_variation_004,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 10.0, 'Arginine': 10.0, 'Glutamic_acid': 30.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 1.5, 'Arginine': 1.5, 'Glutamic_acid': 68.18181818181819, 'water': -6.65786608600979}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
10,D5,41,bsa_peg_ProArgGlu_x020404_variation_000,150,"{'BSA': 46.68, 'PEG': 226.0, 'KP_KCl': 100.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 0}","{'BSA': 13.976047904191617, 'PEG': 56.5, 'KP_KCl': 15.0, 'Proline': 0.0, 'Arginine': 0.0, 'Glutamic_acid': 0.0, 'water': 64.52395209580838}","['water', 'KP_KCl', 'Proline', 'Arginine', 'Glutamic_acid', 'BSA', 'PEG']"
